order_id;year;timestamp;month;channel;customer_type;customer_or_account_label;account_segment;raw_incoming_message;interpretability;mood_tags;bodily_need_tags;dietary_constraints;requested_quantity;requested_products;season_context;inventory_reference;inventory_pressure;fulfillment_status;substitution_required;pickup_delivery;route_zone;payment_terms;repeat_customer;receipt_base;thomas_internal_note;
MH-2014-01-0012;2014;2014-01-26 18:12;January;webshop note;Private customer;Hanna W.;returning customer;Hi Thomas, can I get same as last time for Friday? I feel dark season and need something that does not sit too heavy.;mostly clear;quiet, low energy;restorative;none stated;same as last time;dried porcini, oyster mushroom, winter support blend;Winter;Bavarian dried stock: oyster mushroom, wood ear, winter support blend;low;fulfilled;no;route drop;Friedrichshain;transfer within 3 days;no;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0013;2014;2014-01-12 07:20;January;contact form;Private customer;Daniela S.;gift order;Short SMS: need a same as last time box, feeling quiet, no onions. Can pick up in Kreuzberg.;clear;sleep disruption, low energy;restorative;no onions;same as last time;oyster mushroom, wood ear;Winter;small German farm supply: dried chanterelle, wood ear, dried porcini;low;fulfilled;no;route drop;Prenzlauer Berg;transfer within 3 days;unknown;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0014;2014;2014-01-13 20:25;January;phone note;Private customer;Hanna W.;gift order;Hello, do you have wood ear available? I am cooking for medium box. Pickup after work possible?;needs follow-up;dark season, low energy;easy evening food;nut allergy;medium box;winter support blend, oyster mushroom;Winter;self-foraged + German regional supplier: oyster mushroom, winter support blend, dried chanterelle;medium;fulfilled;no;evening pickup;Charlottenburg;cash on pickup;yes;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0015;2014;2014-01-31 20:07;January;webshop note;Private customer;Clara M.;returning customer;Hi Thomas, can I get 1 portions for tonight? I feel quiet and need something that does not sit too heavy.;mostly clear;low energy, need warmth;focus support;none stated;1 portions;oyster mushroom, dried chanterelle, winter support blend;Winter;Brandenburg collector network: wood ear, winter support blend, oyster mushroom;high;fulfilled;no;evening pickup;Mitte;transfer within 3 days;yes;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0016;2014;2014-01-03 15:21;January;email;Private customer;repeat customer;event dinner;can u make the box again? not sure what was inside. 2 maybe 3 people;clear;sleep disruption, low energy;low-stimulation;vegan;2 portions;wood ear, dried porcini, dried chanterelle;Winter;limited early B2B allocation: winter support blend, dried porcini, oyster mushroom;low;fulfilled;no;route drop;delivery route east;cash on pickup;unknown;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0017;2014;2014-01-25 09:24;January;phone note;B2B account;Cafe Sonnenweg;hotel kitchen;Hello Thomas, we are testing a weekend special and would like 1.9 kg mixed seasonal mushrooms. Can you deliver before service and invoice monthly?;clear;dark season, need warmth;restorative;nut allergy;1.9 kg;wood ear;Winter;self-foraged + German regional supplier: dried porcini, wood ear, dried chanterelle;low;fulfilled;no;standing route drop;Prenzlauer Berg;bank transfer after delivery;yes;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0018;2014;2014-01-19 06:40;January;webshop note;Private customer;repeat customer;event dinner;Short SMS: need a small box box, feeling low energy, vegan. Can pick up in Kreuzberg.;mostly clear;dark season, sleep disruption;light digestion;vegan;small box;wood ear;Winter;small German farm supply: oyster mushroom, winter support blend, wood ear;medium;substituted;yes;route drop;Prenzlauer Berg;bank transfer;no;Winter dried mushroom-miso broth;"forecasting still mostly by instinct; explain substitution plainly";
MH-2014-01-0019;2014;2014-01-14 16:17;January;contact form;Private customer;Lukas N.;gift order;Hello, do you have winter support blend available? I am cooking for same as last time. Please no complicated prep.;clear;dark season, need warmth;grounding;mostly plant-based;same as last time;dried porcini, wood ear;Winter;Bavarian dried stock: dried chanterelle, dried porcini, oyster mushroom;medium;fulfilled;no;route drop;Wedding;bank transfer;unknown;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0020;2014;2014-01-23 09:01;January;SMS;Private customer;unknown sender;event dinner;Hello, do you have wood ear available? I am cooking for same as last time. Please no complicated prep.;clear;sleep disruption, dark season;focus support;vegetarian;same as last time;dried porcini;Winter;Bavarian dried stock: dried chanterelle, dried porcini, oyster mushroom;medium;fulfilled;no;route drop;Wedding;paid via webshop;no;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0021;2014;2014-01-21 12:14;January;SMS;Private customer;Ania B.;weekly private rhythm;Hey, same direction as last time if possible, but lighter. Quantity: small box.;mostly clear;need warmth, quiet;low-stimulation;no onions;small box;winter support blend, oyster mushroom, dried porcini;Winter;small German farm supply: wood ear, winter support blend, dried chanterelle;high;fulfilled;no;delivery;Kreuzberg;bank transfer;yes;Winter dried mushroom-miso broth;do not overpromise fixed varieties;
MH-2014-01-0022;2014;2014-01-19 07:20;January;webshop note;Private customer;Marta S.;gift order;Short SMS: need a same as last time box, feeling quiet, none stated. Can pick up in Friedrichshain.;mostly clear;dark season, sleep disruption;focus support;none stated;same as last time;winter support blend, dried chanterelle, wood ear;Winter;small German farm supply: dried chanterelle, winter support blend, dried porcini;medium;fulfilled;no;pickup;pickup at workshop;transfer within 3 days;unknown;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0023;2014;2014-01-31 15:28;January;webshop note;B2B account;creative catering contact;cafe/brunch;Hello Thomas, we are testing a weekend special and would like 7.4 kg mixed seasonal mushrooms. Can you deliver before service and invoice monthly?;clear;need warmth, dark season;low-stimulation;vegan;7.4 kg;dried porcini, winter support blend, oyster mushroom;Winter;Brandenburg collector network: dried porcini, winter support blend, dried chanterelle;medium;fulfilled;no;delivery;Friedrichshain;invoice end of month;yes;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0024;2014;2014-01-05 07:02;January;contact form;Private customer;No name / webshop;event dinner;Short SMS: need a 0.9 kg box, feeling sleep disruption, no garlic. Can pick up in Neukölln.;needs follow-up;dark season, quiet;low-stimulation;no garlic;0.9 kg;wood ear;Winter;Brandenburg collector network: wood ear, winter support blend, oyster mushroom;low;fulfilled;no;route drop;pickup at workshop;cash on pickup;no;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0025;2014;2014-01-20 07:31;January;email;Private customer;Lukas N.;weekly private rhythm;Short SMS: need a 1.9 kg box, feeling low energy, nut allergy. Can pick up in Kreuzberg.;clear;dark season, quiet;easy evening food;nut allergy;1.9 kg;dried chanterelle, dried porcini, oyster mushroom;Winter;self-foraged + German regional supplier: wood ear, oyster mushroom, winter support blend;medium;fulfilled;no;evening pickup;pickup at workshop;transfer within 3 days;yes;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0026;2014;2014-01-20 22:44;January;webshop note;Private customer;No name / webshop;weekly private rhythm;Short SMS: need a 0.6 kg box, feeling dark season, mostly plant-based. Can pick up in Kreuzberg.;mostly clear;sleep disruption, quiet;restorative;mostly plant-based;0.6 kg;oyster mushroom, dried chanterelle, dried porcini;Winter;small German farm supply: dried chanterelle, winter support blend, dried porcini;low;fulfilled;no;evening pickup;Schöneberg;paid via webshop;no;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0027;2014;2014-01-09 20:21;January;SMS;Private customer;Eva L.;gift order;Hello, do you have wood ear available? I am cooking for 3 portions. Please no complicated prep.;clear;dark season, need warmth;restorative;nut allergy;3 portions;dried porcini, wood ear;Winter;Brandenburg collector network: oyster mushroom, winter support blend, dried chanterelle;medium;fulfilled;no;market handoff;Neukölln;transfer within 3 days;yes;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0028;2014;2014-01-15 13:34;January;email;Unclear / unidentifiable;no signature;unknown;voice note logged: customer unclear, mentioned hotel or dinner, no quantity confirmed;partial only;sleep disruption, quiet;easy evening food;mostly plant-based;unclear;wood ear, dried porcini, dried chanterelle;Winter;self-foraged + German regional supplier: oyster mushroom, wood ear, winter support blend;low;logged only;no;pickup;Charlottenburg;not discussed;no;Winter dried mushroom-miso broth;do not overpromise fixed varieties;
MH-2014-01-0029;2014;2014-01-01 17:47;January;SMS;Private customer;Lukas N.;event dinner;Hey, same direction as last time if possible, but more grounding. Quantity: same as last time.;mostly clear;dark season, low energy;light digestion;vegan;same as last time;dried porcini, wood ear, dried chanterelle;Winter;self-foraged + German regional supplier: dried chanterelle, winter support blend, dried porcini;medium;fulfilled;no;market handoff;Mitte;bank transfer;no;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0030;2014;2014-01-28 08:52;January;webshop note;Private customer;No name / webshop;weekly private rhythm;Hi Thomas, can I get 1.3 kg for tomorrow evening? I feel dark season and need something that does not sit too heavy. sensitive stomach;clear;sleep disruption, low energy;easy evening food;sensitive stomach;1.3 kg;wood ear;Winter;self-foraged + German regional supplier: oyster mushroom, dried porcini, dried chanterelle;low;substituted;yes;delivery;Wedding;paid via webshop;unknown;Winter dried mushroom-miso broth;"Thomas handling replies manually; offer equivalent texture rather than same species";
MH-2014-01-0031;2014;2014-01-20 09:41;January;email;Private customer;Hanna W.;weekly private rhythm;Hello, do you have dried chanterelle available? I am cooking for 0.4 kg. Need it labelled if possible.;clear;sleep disruption, quiet;restorative;vegan;0.4 kg;dried chanterelle, wood ear, oyster mushroom;Winter;Bavarian dried stock: winter support blend, oyster mushroom, dried chanterelle;medium;fulfilled;no;delivery;Kreuzberg;transfer within 3 days;unknown;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0032;2014;2014-01-24 10:13;January;webshop note;Unclear / unidentifiable;first name only;unknown;Email without signature: need box tomorrow, no address, asks if 'the calming one' is available;too unclear;quiet, low energy;easy evening food;mostly plant-based;maybe 2 bags;dried porcini;Winter;Brandenburg collector network: dried porcini, wood ear, dried chanterelle;low;not yet confirmed;no;evening pickup;pickup at workshop;pending;unknown;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0033;2014;2014-01-10 14:55;January;webshop note;Private customer;Lena R.;weekly private rhythm;Hi Thomas, can I get same as last time for tomorrow evening? I feel dark season and need something that does not sit too heavy. lactose-free;mostly clear;need warmth, dark season;focus support;lactose-free;same as last time;winter support blend, wood ear;Winter;limited early B2B allocation: oyster mushroom, wood ear, winter support blend;medium;fulfilled;no;route drop;Köpenick;transfer within 3 days;unknown;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0034;2014;2014-01-08 15:05;January;phone note;Private customer;Lukas N.;returning customer;Short SMS: need a 4 portions box, feeling quiet, nut allergy. Can pick up in Kreuzberg.;mostly clear;sleep disruption, need warmth;low-stimulation;nut allergy;4 portions;oyster mushroom, dried porcini, winter support blend;Winter;limited early B2B allocation: dried porcini, winter support blend, dried chanterelle;low;fulfilled;no;market handoff;Mitte;transfer within 3 days;unknown;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0035;2014;2014-01-01 18:32;January;phone note;Private customer;Marta S.;mood box;Hello, do you have dried chanterelle available? I am cooking for 2 portions. Pickup after work possible?;clear;sleep disruption, low energy;light digestion;no onions;2 portions;wood ear, dried porcini;Winter;small German farm supply: oyster mushroom, wood ear, dried chanterelle;medium;fulfilled;no;pickup;Kreuzberg;bank transfer;yes;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0036;2014;2014-01-07 18:04;January;SMS;Private customer;Michael K.;event dinner;Hi Thomas, can I get 4 portions for Friday? I feel quiet and need something that does not sit too heavy. nut allergy;clear;sleep disruption, quiet;low-stimulation;nut allergy;4 portions;winter support blend;Winter;Brandenburg collector network: dried chanterelle, wood ear, oyster mushroom;high;fulfilled;yes;pickup;Neukölln;transfer within 3 days;yes;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0037;2014;2014-01-31 20:46;January;contact form;Private customer;Ania B.;weekly private rhythm;Hey, same direction as last time if possible, but less strong. Quantity: small box.;clear;dark season, low energy;cooling;gluten-free;small box;winter support blend;Winter;Bavarian dried stock: wood ear, winter support blend, dried porcini;medium;fulfilled;no;route drop;Kreuzberg;cash on pickup;unknown;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0038;2014;2014-01-01 17:17;January;email;Private customer;Lena R.;event dinner;Hey, same direction as last time if possible, but lighter. Quantity: 5 portions.;needs follow-up;quiet, sleep disruption;cooling;sensitive stomach;5 portions;dried porcini, winter support blend, dried chanterelle;Winter;Bavarian dried stock: dried chanterelle, oyster mushroom, dried porcini;medium;fulfilled;no;evening pickup;delivery route east;transfer within 3 days;yes;Winter dried mushroom-miso broth;do not overpromise fixed varieties;
MH-2014-01-0039;2014;2014-01-17 08:35;January;market follow-up;Private customer;Eva L.;weekly private rhythm;Short SMS: need a 2 portions box, feeling low energy, mostly plant-based. Can pick up in Mitte.;clear;quiet, low energy;restorative;mostly plant-based;2 portions;dried porcini;Winter;self-foraged + German regional supplier: oyster mushroom, winter support blend, dried chanterelle;medium;fulfilled;no;market handoff;Friedrichshain;paid via webshop;yes;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0040;2014;2014-01-18 09:37;January;email;Private customer;repeat customer;event dinner;Web note: Mushroom Mood Today — feeling low energy. Please choose from what is actually good this week. Need 2 portions.;clear;low energy, quiet;cooling;nut allergy;2 portions;dried chanterelle, dried porcini;Winter;Bavarian dried stock: dried chanterelle, winter support blend, oyster mushroom;medium;fulfilled;no;market handoff;Kreuzberg;cash on pickup;no;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0041;2014;2014-01-19 21:26;January;webshop note;Private customer;Eva L.;gift order;Hi Thomas, can I get medium box for tonight? I feel low energy and need something that does not sit too heavy. gluten-free;clear;quiet, sleep disruption;restorative;gluten-free;medium box;wood ear, dried porcini;Winter;Bavarian dried stock: wood ear, dried porcini, winter support blend;medium;fulfilled;no;evening pickup;Neukölln;paid via webshop;no;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0042;2014;2014-01-24 10:44;January;webshop note;B2B account;small Neukölln brunch place;hotel kitchen;Can you send terms for a small standing order? We are thinking 6.0 kg weekly, but still not sure how guests respond.;mostly clear;low energy, quiet;restorative;no garlic;6.0 kg;wood ear;Winter;limited early B2B allocation: oyster mushroom, dried porcini, wood ear;medium;fulfilled;no;kitchen drop-off;Neukölln;bank transfer after delivery;yes;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0043;2014;2014-01-16 12:58;January;contact form;Private customer;Ania B.;gift order;Hello, do you have winter support blend available? I am cooking for same as last time. Pickup after work possible?;clear;need warmth, quiet;grounding;vegan;same as last time;wood ear;Winter;Brandenburg collector network: dried chanterelle, oyster mushroom, dried porcini;medium;fulfilled;no;market handoff;Kreuzberg;transfer within 3 days;no;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0044;2014;2014-01-17 11:33;January;SMS;Private customer;Lena R.;returning customer;Web note: Mushroom Mood Today — feeling low energy. Please choose from what is actually good this week. Need same as last time.;needs follow-up;dark season, quiet;restorative;lactose-free;same as last time;dried porcini, dried chanterelle;Winter;Brandenburg collector network: dried porcini, oyster mushroom, dried chanterelle;medium;fulfilled;no;pickup;Köpenick;paid via webshop;yes;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0045;2014;2014-01-30 09:03;January;market follow-up;Private customer;Clara M.;returning customer;Hello, do you have dried chanterelle available? I am cooking for small box. Need it labelled if possible.;mostly clear;sleep disruption, dark season;restorative;vegetarian;small box;dried chanterelle;Winter;limited early B2B allocation: oyster mushroom, wood ear, dried porcini;low;fulfilled;no;pickup;Wedding;bank transfer;no;Winter dried mushroom-miso broth;do not overpromise fixed varieties;
MH-2014-01-0046;2014;2014-01-15 16:36;January;phone note;Private customer;unknown sender;event dinner;Web note: Mushroom Mood Today — feeling low energy. Please choose from what is actually good this week. Need same as last time.;clear;quiet, sleep disruption;easy evening food;nut allergy;same as last time;winter support blend, dried chanterelle;Winter;small German farm supply: wood ear, dried chanterelle, winter support blend;high;fulfilled;yes;evening pickup;Wedding;cash on pickup;no;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0047;2014;2014-01-28 16:21;January;phone note;Private customer;Clara M.;returning customer;Web note: Mushroom Mood Today — feeling low energy. Please choose from what is actually good this week. Need 2 portions.;clear;dark season, sleep disruption;focus support;vegan;2 portions;dried porcini, wood ear, dried chanterelle;Winter;limited early B2B allocation: winter support blend, dried chanterelle, oyster mushroom;medium;fulfilled;no;market handoff;Wedding;bank transfer;no;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0048;2014;2014-01-20 21:32;January;SMS;Private customer;Jonas K.;returning customer;Hello, do you have wood ear available? I am cooking for 1.7 kg. Please no complicated prep.;mostly clear;sleep disruption, dark season;warmth without heaviness;no onions;1.7 kg;dried porcini, wood ear, dried chanterelle;Winter;Brandenburg collector network: oyster mushroom, wood ear, dried chanterelle;medium;fulfilled;no;delivery;Prenzlauer Berg;bank transfer;unknown;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0049;2014;2014-01-23 20:58;January;webshop note;Private customer;Daniela S.;event dinner;Hello, do you have oyster mushroom available? I am cooking for same as last time. Can I come by bike?;clear;dark season, low energy;light digestion;sensitive stomach;same as last time;dried chanterelle;Winter;Bavarian dried stock: winter support blend, wood ear, dried chanterelle;medium;fulfilled;no;evening pickup;pickup at workshop;transfer within 3 days;unknown;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0050;2014;2014-01-22 18:36;January;email;Private customer;Jonas K.;returning customer;Hey, same direction as last time if possible, but less strong. Quantity: 0.8 kg.;needs follow-up;low energy, quiet;easy evening food;lactose-free;0.8 kg;winter support blend, dried porcini, oyster mushroom;Winter;small German farm supply: wood ear, dried chanterelle, dried porcini;medium;substituted;yes;route drop;Mitte;cash on pickup;unknown;Winter dried mushroom-miso broth;"Thomas handling replies manually; offer equivalent texture rather than same species";
MH-2014-01-0051;2014;2014-01-03 12:52;January;phone note;B2B account;Cafe Flora;restaurant;Cafe Flora follow-up: guests liked the last box. Can we increase a little this week, maybe 2.5 kg, and keep it local/seasonal?;clear;dark season, quiet;grounding;nut allergy;2.5 kg;dried porcini, dried chanterelle, wood ear;Winter;Brandenburg collector network: dried chanterelle, wood ear, dried porcini;low;rescheduled;no;standing route drop;Schöneberg;invoice end of month;new in trial;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0052;2014;2014-01-16 11:33;January;phone note;Private customer;Clara M.;mood box;Short SMS: need a medium box box, feeling need warmth, no onions. Can pick up in Mitte.;clear;low energy, quiet;warmth without heaviness;no onions;medium box;wood ear, oyster mushroom, dried chanterelle;Winter;small German farm supply: dried porcini, winter support blend, dried chanterelle;medium;fulfilled;no;market handoff;Schöneberg;paid via webshop;unknown;Winter dried mushroom-miso broth;do not overpromise fixed varieties;
MH-2014-01-0053;2014;2014-01-18 12:51;January;contact form;Private customer;unknown sender;gift order;Hey, same direction as last time if possible, but lighter. Quantity: 3 portions.;clear;dark season, sleep disruption;easy evening food;mostly plant-based;3 portions;oyster mushroom;Winter;limited early B2B allocation: dried chanterelle, wood ear, dried porcini;low;rescheduled;no;delivery;Charlottenburg;transfer within 3 days;yes;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0054;2014;2014-01-11 09:11;January;email;Private customer;Lena R.;event dinner;Hello, do you have oyster mushroom available? I am cooking for 1 portions. Please no complicated prep.;clear;low energy, quiet;warmth without heaviness;gluten-free;1 portions;dried porcini, oyster mushroom, wood ear;Winter;self-foraged + German regional supplier: dried porcini, oyster mushroom, dried chanterelle;medium;fulfilled;no;market handoff;pickup at workshop;bank transfer;unknown;Winter dried mushroom-miso broth;do not overpromise fixed varieties;
MH-2014-01-0055;2014;2014-01-04 11:52;January;market follow-up;Private customer;repeat customer;event dinner;Hi Thomas, can I get 1.0 kg for this weekend? I feel quiet and need something that does not sit too heavy. lactose-free;clear;dark season, need warmth;focus support;lactose-free;1.0 kg;dried chanterelle, dried porcini;Winter;Brandenburg collector network: wood ear, oyster mushroom, dried chanterelle;medium;rescheduled;no;market handoff;pickup at workshop;cash on pickup;yes;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0056;2014;2014-01-28 21:09;January;contact form;Private customer;Stefan W.;mood box;Hey, same direction as last time if possible, but more simple. Quantity: 3 portions.;mostly clear;quiet, low energy;focus support;no onions;3 portions;winter support blend;Winter;limited early B2B allocation: wood ear, winter support blend, dried porcini;medium;substituted;yes;market handoff;delivery route east;transfer within 3 days;unknown;Winter dried mushroom-miso broth;"new B2B rhythm still fragile; offer equivalent texture rather than same species";
MH-2014-01-0057;2014;2014-01-12 19:48;January;SMS;Private customer;Sarah P.;event dinner;Hi Thomas, can I get 1.9 kg for this weekend? I feel low energy and need something that does not sit too heavy. sensitive stomach;clear;sleep disruption, low energy;restorative;sensitive stomach;1.9 kg;winter support blend;Winter;self-foraged + German regional supplier: oyster mushroom, wood ear, dried porcini;low;fulfilled;no;route drop;Kreuzberg;cash on pickup;yes;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
MH-2014-01-0058;2014;2014-01-08 10:33;January;webshop note;Private customer;Stefan W.;gift order;Hey, same direction as last time if possible, but more grounding. Quantity: same as last time.;mostly clear;dark season, need warmth;focus support;no onions;same as last time;winter support blend, dried porcini, dried chanterelle;Winter;self-foraged + German regional supplier: dried chanterelle, wood ear, winter support blend;high;fulfilled;no;pickup;Köpenick;transfer within 3 days;yes;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0059;2014;2014-01-09 15:02;January;email;Private customer;Daniela S.;event dinner;Web note: Mushroom Mood Today — feeling sleep disruption. Please choose from what is actually good this week. Need same as last time.;clear;quiet, low energy;cooling;sensitive stomach;same as last time;dried chanterelle, winter support blend, oyster mushroom;Winter;self-foraged + German regional supplier: dried chanterelle, wood ear, dried porcini;low;fulfilled;no;market handoff;Friedrichshain;bank transfer;yes;Winter dried mushroom-miso broth;route planning not yet stable;
