record_id,date,time,weather,season,clean_message,source_file
25,2014-12-17,06:59,Light snow,Winter,"Early-morning WhatsApp from new hotel contact: they heard from a bistro that you supply special mushrooms. They ask if you could send a sample box this Friday for the chef to test, 2–3 kg mixed, with a simple list of what's inside. Confirm if you can deliver to Mitte at 09:00.",mushroom_Orders_v1.rtf
26,2015-01-26,11:07,Grey clouds,Winter,"Email: ""Recurring order request – Cafe Sonnenweg."" The cafe asks if you can provide a fixed 2 kg every Saturday, with the flexibility to go up to 4 kg when they message you by Thursday. They note they prefer varieties that work for brunch and mostly vegetarian guests. Please confirm pricing and if this fits into your winter routine.",mushroom_Orders_v1.rtf
27,2015-03-18,17:24,Clear sky,Spring,"Long-time private customer writes: ""Mood today: hopeful but tired, need something simple after work."" They ask for a small order for one, pickup at 19:30 near Kottbusser Tor if you are passing through. You reply that you can bring a compact selection and ask them to send 10 EUR via transfer afterward.",mushroom_Orders_v1.rtf
28,2015-05-09,08:12,"Sunny, mild",Spring,"Bistro owner: ""We want to test a seasonal mushroom brunch every Sunday in May."" They ask for a weekly delivery of 3 kg on Saturday mornings and want to keep the supplier local and flexible. You ask about their kitchen constraints, confirm that you can adjust varieties week by week, and suggest a check-in after two Sundays.",mushroom_Orders_v1.rtf
29,2015-08-01,19:02,"Hot, humid",Summer,"Customer note via webshop: ""Mushroom Mood Today – I feel scattered from heat, want something calming."" They select the ""surprise me"" option and write that they're vegan and avoid wheat. Confirm order for 2 portions, mention that delivery is not possible in this heat, and suggest pickup the next morning before temperatures rise.",mushroom_Orders_v1.rtf
30,2015-09-27,06:55,"Chilly, clear",Autumn,"New contact: small coffee shop in Kreuzberg asks if you can supply small amounts for a weekend special, maybe just 1–2 kg mixed each Friday. They say storage is limited, so they need very fresh delivery. You answer that Friday morning drops are possible after your forest round and ask for their exact opening time.",mushroom_Orders_v1.rtf
31,2015-11-11,15:39,Drizzle,Autumn,"Existing bistro writes: ""Guests keep asking about the mushroom guy, can we have a little story card on the table."" They also confirm they will need 5 kg this weekend instead of 3 due to a group booking. You accept the increased order but mention that some varieties are limited this week and you may need to substitute with more robust ones.",mushroom_Orders_v1.rtf
32,2015-12-29,13:20,Wet snow,Winter,"Hotel contact emails: ""New Year's Eve menu – final confirmation."" They ask if you can still deliver 6 kg on the 30th, split into two crates, labeled for different dishes. You respond that 5 kg is realistic because of weather and foraging limits, and ask if they can adjust their menu portion sizes slightly.",mushroom_Orders_v1.rtf
33,2016-02-15,09:41,Overcast,Winter,"Webshop order: returning customer chooses ""winter support"" option and writes in note: ""Low energy, sleeping badly, no meat, no lactose."" They ask for 3 portions for the week and mention they can only pick up after 20:00. You confirm preparation for today and ask them to ring the downstairs bell when they arrive.",mushroom_Orders_v1.rtf
34,2016-04-07,18:58,Light rain,Spring,"Email from small restaurant: ""Thursday delivery issue."" They say last week's box arrived 30 minutes late and ask if you can make tomorrow's delivery strictly before 11:00, as lunch prep suffered. You reply that you'll adjust your route and confirm 10:30 drop-off, also asking if the current mix is working or needs tweaking.",mushroom_Orders_v1.rtf
35,2016-06-19,07:33,Warm sun,Summer,"Cafe Sonnenweg sends: ""Same as last Sunday, plus 1 kg extra if possible."" They mention guests responded well to the current mix and ask if you can keep the flavors mild. You confirm total 4 kg, explain that one variety is out this week, and propose an alternative with similar texture.",mushroom_Orders_v1.rtf
36,2016-09-05,20:11,"Cool, clear",Autumn,"Private customer writes that they feel overwhelmed from work and want a steady weekly order for the next month. They ask for one box every Wednesday, pickup at your place after 19:00, always vegetarian and low on heavy spices. You agree to a four-week trial and ask them to send a short note each week about how they feel so you can adjust.",mushroom_Orders_v1.rtf
37,2016-10-23,06:48,Foggy,Autumn,"Restaurant in Mitte: ""Can we lock in a standing order for October–November."" They request 8 kg every Friday, with the option to cancel one week in advance if bookings drop. You answer that this is possible but warn that heavy storms may reduce forest yield, and ask for a backup plan if quantities need to be reduced by 20–30%.",mushroom_Orders_v1.rtf
38,2016-12-12,16:17,Light snow,Winter,"Hotel kitchen emails about Christmas week: they want to repeat last year's order, same distribution between breakfast and dinner service. They ask if you can pre-label boxes ""breakfast"" and ""dinner"" to simplify storage. You confirm, mention a small price adjustment due to rising costs, and ask them to confirm acceptance.",mushroom_Orders_v1.rtf
39,2017-03-01,10:26,"Cold, bright",Spring,"Webshop ticket: customer asks whether your products are certified organic and if any items may trigger histamine issues. They want to order but need clarity on sourcing and handling. You respond with a short explanation of your forest-based supply, your handling practices, and suggest a smaller test order first.",mushroom_Orders_v1.rtf
40,2017-04-18,19:36,Mild evening,Spring,"Cafe owner writes on WhatsApp: ""Hey, mood is very positive in the cafe, guests ask for seasonal specials."" They want to try a special board every weekend in May and ask for an extra 2 kg on top of the usual order. You reply with ""ok, starting next Friday,"" and ask if they want a more energizing or calming profile overall.",mushroom_Orders_v1.rtf
41,2017-07-09,06:59,"Warm, cloudy",Summer,"Email from small catering company: they are planning a vegetarian menu for a yoga retreat and need 10–12 kg over three days. They ask how far in advance you need final numbers and if you can store part of the order in your space overnight. You answer that you can split delivery, but need 5 days notice for final quantities.",mushroom_Orders_v1.rtf
42,2017-09-21,14:03,"Crisp, sunny",Autumn,"Bistro in Friedrichshain: ""Autumn menu adjustments."" They say guests like the current mushrooms but some find them too intense for lunch. They ask if you can adjust the mix to be slightly lighter while keeping the same total quantity. You propose replacing one heavier variety with a milder one and ask for feedback after the next weekend.",mushroom_Orders_v1.rtf
43,2017-11-04,08:12,Cold rain,Autumn,"Private customer note: ""Mushroom Mood Today – feeling heavy, want clarity."" They request enough for two meals for one person, vegan, with something that doesn't disturb sleep. You send back available options and suggest pickup after 16:00, reminding them to bring their own container if possible.",mushroom_Orders_v1.rtf
44,2017-12-30,17:29,Wet snow,Winter,"Hotel contact: ""NYE final numbers changed."" They now expect 20% more guests and ask if you can stretch tomorrow's delivery from 6 kg to 7.5 kg. You reply that you can add 1 kg but not more, given weather and forest conditions, and they agree to adjust portions.",mushroom_Orders_v1.rtf
45,2018-02-08,09:51,"Freezing, clear",Winter,"New restaurant in Kreuzberg: ""Trial order request."" They heard about you through another chef and want a one-time 4 kg mixed box this Friday. They specify one guest has severe nut allergy and ask you to confirm there is no cross-contact with nut products in your handling. You confirm your process and ask for delivery time window.",mushroom_Orders_v1.rtf
46,2018-04-29,18:41,Mild rain,Spring,"Returning private customer sends webshop note: ""Planning an easy weekend, feeling calm but low energy."" They choose 3-portion box and mention they avoid gluten and strong stimulants like coffee. You confirm order and ask if Sunday morning pickup works better than Saturday evening due to your schedule.",mushroom_Orders_v1.rtf
47,2018-06-11,07:08,Warm sun,Summer,"Cafe Sonnenweg: ""Summer adjustment."" They explain brunch bookings dip in heat, so they want to reduce weekly order from 4 kg to 2.5 kg until August. You accept, note the new baseline, and offer to add a last-minute 1 kg if they text by Friday noon.",mushroom_Orders_v1.rtf
48,2018-08-25,20:22,"Hot, humid",Summer,"Small hotel emails: guests responded very well to last weekend's mushrooms and they want to integrate you into their regular breakfast concept. They propose a fixed standing order of 3 kg twice a week, with a monthly review. You respond that this is possible starting mid-September and suggest a three-month test phase.",mushroom_Orders_v1.rtf
49,2018-09-30,11:44,Cool sun,Autumn,"Bistro requests ""autumn special focus"" for October, asking if you can lean the mix more toward deeper, earthier flavors. They still want 5 kg per week, but ask for a bit more variety to build a small tasting plate. You confirm that forest conditions allow for more diversity now and ask them to send guest feedback each week.",mushroom_Orders_v1.rtf
50,2018-10-19,06:51,Foggy,Autumn,"WhatsApp from long-term restaurant partner: ""Minus 2 kg this week please, bookings dropped."" They also mention a new chef started and would like to meet you once to understand your philosophy. You accept the reduced quantity and propose a quick meeting after next Friday's delivery.",mushroom_Orders_v1.rtf
51,2018-11-27,15:58,"Cold, light drizzle",Autumn,"Webshop customer: ""Gift order for a friend going through a hard time."" They ask for something gentle, vegetarian, and not too experimental, to be picked up by the friend directly. You request the friend's contact details, clarify dietary constraints, and propose a pickup window on Saturday.",mushroom_Orders_v1.rtf
52,2018-12-23,13:05,"Grey, damp",Winter,"Restaurant in Mitte: ""Christmas rush – emergency top-up possible?"" They underestimated demand and ask for an extra 2–3 kg for the 24th dinner service. You check inventory and reply that you can provide 1.5 kg this time, offering to deliver early morning on the 24th before heading to family.",mushroom_Orders_v1.rtf
53,2019-01-10,09:17,Light snow,Winter,"Standing partner cafe requests a summary of their 2018 orders for accounting. They also ask if you are planning any price changes for 2019. You send a short recap of monthly volumes and confirm a small price increase starting March, offering to keep January–February at old rates.",mushroom_Orders_v1.rtf
54,2019-03-03,18:06,Windy,Spring,"New yoga studio contacts you: they want a small regular order for Sunday brunch events, about 1.5 kg per week. They stress that many guests are vegan and prefer gentle flavors. You propose a one-month trial with flexible quantities and ask whether they have refrigeration capacity for leftovers.",mushroom_Orders_v1.rtf
55,2019-05-21,07:29,"Clear, mild",Spring,"Webshop note from long-time customer: ""Mood today: focused, stable, want to support that."" They select a 4-portion box and remind you they can't tolerate garlic and onions. You confirm preparation for tonight and schedule pickup for 19:00, asking them to confirm if they are running late.",mushroom_Orders_v1.rtf
56,2019-08-02,11:51,Heatwave,Summer,"Restaurant partner writes: ""Due to extreme heat, guests are eating less."" They want to reduce next two deliveries by 30% and ask if that's okay on short notice. You accept, explain that forest growth is low anyway, and propose revisiting normal quantities in September.",mushroom_Orders_v1.rtf
57,2019-10-14,05:58,Cool fog,Autumn,"Hotel sends: ""Autumn brunch concept live from next week."" They ask to switch from ad-hoc orders to a fixed weekly cycle, 4 kg every Thursday, with a soft option for +/- 1 kg depending on occupancy. You confirm and note internally to check in after three weeks on variety and guest reactions.",mushroom_Orders_v1.rtf
58,2019-12-09,16:33,Cold rain,Winter,"Catering company: ""December schedule confirmation."" They list three events and proposed quantities (6 kg, 8 kg, 5 kg) and ask if you can support all of them. You answer that you can meet the first two fully but need to cap the third at 4 kg; they agree and adjust menus.",mushroom_Orders_v1.rtf
59,2020-02-18,08:47,Grey clouds,Winter,"Webshop customer: ""Boost immunity?"" They ask if you have anything supportive for this time of year, mention they work in a hospital and have irregular hours. You propose a flexible pickup window this week and suggest they order smaller portions more frequently so they don't keep anything too long.",mushroom_Orders_v1.rtf
60,2020-04-03,10:22,"Clear, cool",Spring,"Restaurant in Kreuzberg writes that due to restrictions they have shifted to takeaway only and reduced menu. They want to keep working with you but reduce deliveries to 50% for the next month. You agree, offer to combine their box with another client's route to save time, and propose revisiting volumes at the end of April.",mushroom_Orders_v1.rtf
61,2020-06-15,19:05,Warm evening,Summer,"Private customer: ""Back to ordering after a long break."" They mention stress and sleep issues, still vegetarian, and ask if your offering changed. You explain you're now focusing more on stable weekly cycles with partners but still keep a small quota for custom orders, and propose one box every two weeks as a starting point.",mushroom_Orders_v1.rtf
62,2020-09-07,07:01,"Cool, sunny",Autumn,"Hotel partner: ""Occupancy slowly rising."" They ask if you can return to original 2019 quantities from next week, 4 kg Thursday, 3 kg Sunday. You confirm, mention forest conditions look good, and ask if the breakfast team wants any specific texture changes for the new menu.",mushroom_Orders_v1.rtf
63,2020-11-23,15:47,Cold drizzle,Autumn,"Bistro reports that evening business is unstable again and they might cancel a delivery on short notice. They ask how late they can decide without causing you problems. You answer that cancellations up to 24 hours before delivery are okay, but same-day changes will likely still be charged partially.",mushroom_Orders_v1.rtf
64,2020-12-30,12:18,Wet snow,Winter,"Several regulars send quick messages asking if you have ""anything left at all"" for New Year. You log that private capacity is full and reply with a standard message: no more boxes possible, all stock reserved for long-term partners. You suggest they check in again mid-January when forest and schedule reset.",mushroom_Orders_v1.rtf
65,2021-01-19,09:40,"Freezing, grey",Winter,"Email from long-term cafe: they want to align their menu with your current seasonal reality. They ask you to send a short note every Monday with what's strong, what's limited, and what's not available. You agree to a simple three-line weekly email and integrate it into your Monday routine.",mushroom_Orders_v1.rtf
66,2021-03-30,18:51,Clear evening,Spring,"Private customer: ""Monthly subscription idea."" They propose a pre-paid package for four months, one box per month, to avoid scheduling stress. You reply that this is possible if they accept that box size may vary slightly with the season, and they agree.",mushroom_Orders_v1.rtf
67,2021-06-12,06:37,Mild sun,Summer,"Yoga retreat organizer: ""Second retreat this year."" They want the same pattern as last time but with more options for gluten-free participants. You confirm dates, propose similar total quantity, and ask if they can provide final attendee numbers at least 7 days before.",mushroom_Orders_v1.rtf
68,2021-08-28,20:00,"Warm, cloudy",Summer,"Restaurant writes via WhatsApp: ""September menu lock."" They plan a new menu and ask if they can rely on 7–8 kg every Friday for four weeks. You answer ""ok, 7 kg guaranteed, 8 kg if forest allows,"" and add an internal note to prioritize this partner in case of scarcity.",mushroom_Orders_v1.rtf
69,2021-10-11,11:26,Cool sun,Autumn,"Webshop user: ""Mood today: anxious, overthinking, need something grounding for evenings."" They mark themselves as repeat customer and reference an order ID from 2019. You pull up the old notes, keep similar direction but adapt to current stock, and confirm pickup for Wednesday.",mushroom_Orders_v1.rtf
70,2021-12-05,16:14,Cold rain,Winter,"Hotel partner: ""Brunch numbers higher than expected this Advent."" They request 1 kg extra on the next three deliveries and ask you to invoice everything together in January. You agree but flag that if heavy snow hits, you may need to lower the last delivery slightly.",mushroom_Orders_v1.rtf
71,2022-02-02,08:03,Light snow,Winter,"New specialty coffee shop: ""Trial collaboration."" They ask for a small box weekly for two months to test a brunch plate, 1–1.5 kg, and mention a mostly vegetarian audience. You propose 1.5 kg for the first two weeks, then adjustment based on sales, and ask if Saturday morning delivery is okay.",mushroom_Orders_v1.rtf
72,2022-03-21,19:27,"Clear, cool",Spring,"Private customer returns after a year pause: ""Need something steady for the next weeks, mood very unstable."" They ask for small weekly boxes, always plant-based, with minimal stimulation. You suggest a four-week cycle with check-ins and remind them you cannot give medical advice, only adjust based on their feedback.",mushroom_Orders_v1.rtf
73,2022-05-30,07:12,Warm sun,Spring,"Restaurant in Mitte: ""Brunch capacity up."" They ask to increase Thursday delivery from 5 kg to 7 kg for June and July. You confirm June is possible, but ask to keep July flexible as last summer's heat impacted availability.",mushroom_Orders_v1.rtf
74,2022-08-09,18:44,"Hot, hazy",Summer,"Bistro message: ""Heat again, please reduce."" They report guests are choosing lighter options and want to temporarily cut their weekly order in half. You adjust their profile to 2.5 kg, note ""heat mode,"" and tell them you'll ping them in early September to see if they want to go back up.",mushroom_Orders_v1.rtf
75,2022-10-17,06:54,Misty,Autumn,"Hotel: ""Autumn packages launched."" They want to coordinate mushroom deliveries with their wellness weekends and send you dates through December. You map their dates against your calendar and confirm which ones you can fully cover, marking two weekends as ""reduced quantity only.""",mushroom_Orders_v1.rtf
76,2022-12-22,13:39,"Grey, wet",Winter,"Long-term private customer: ""End-of-year box?"" They ask for something very simple for two evenings, vegetarian, low effort, to carry them through busy days. You say you can prepare one medium box for pickup on the 23rd, but all later slots are for partners only.",mushroom_Orders_v1.rtf
77,2023-01-16,09:09,Overcast,Winter,"Cafe Sonnenweg: ""2023 baseline."" They propose 3 kg every Saturday as standard, with the option to add 1 kg for special events when they text you by Thursday noon. You agree, note the new baseline in your sheet, and ask if they want their usual calmer flavor profile to continue.",mushroom_Orders_v1.rtf
78,2023-03-05,17:52,Light rain,Spring,"Webshop customer: ""Mood today: restless but hopeful."" They're mostly plant-based and ask for enough for four small meals. You recognize their email as a previous client from 2018, keep similar general direction, and propose pickup Tuesday evening, reminding them to message if anything in their body changed since last time.",mushroom_Orders_v1.rtf
79,2023-05-23,07:36,"Clear, mild",Spring,"Restaurant partner: ""Summer menu planning."" They ask you to estimate realistic weekly volumes June–August based on last year's heat and your current forest reading. You respond with a suggested volume curve, starting higher in June, lower in late July, and offer to adjust up or down with one week notice.",mushroom_Orders_v1.rtf
80,2023-07-30,18:21,"Hot, humid",Summer,"Hotel notes that breakfast is quieter during heat but dinner is busier. They ask if you can shift 1 kg per week from morning-oriented varieties to types that work better for later meals. You agree and log ""dinner focus"" on their profile for August.",mushroom_Orders_v1.rtf
81,2023-09-18,06:45,"Cool, clear",Autumn,"Yoga studio: ""Autumn retreat series x3."" They list three weekends and ask for similar volumes as last year, but with more gluten-free-friendly options. You confirm total amounts, propose dividing each weekend's delivery into two smaller drops, and ask if they can store them separately.",mushroom_Orders_v1.rtf
82,2023-11-07,15:32,Cold drizzle,Autumn,"Private customer: ""Recurring Tuesday box?"" They'd like a small box every Tuesday for the rest of the year, always plant-based, low stimulation, with a short note from you about when in the day it fits best. You accept with the condition that quantities may shift slightly around holidays; they agree.",mushroom_Orders_v1.rtf
83,2023-12-28,10:58,"Grey, chilly",Winter,"Restaurant: ""January forecast."" They expect lower bookings and want to temporarily reduce their Friday order from 6 kg to 4 kg. You acknowledge, set the new quantity for January, and schedule a check-in call for the last week of the month to decide on February.",mushroom_Orders_v1.rtf
84,2024-02-04,09:27,Light snow,Winter,"New specialty cafe in Prenzlauer Berg: ""Intro order."" They want a small box every second week to test a weekend plate, around 1 kg, vegetarian focus. You accept, propose alternating weeks to fit your route, and ask them to send a brief sales report after each weekend.",mushroom_Orders_v1.rtf
85,2024-04-16,18:39,Clear evening,Spring,"Hotel partner: ""Wellness package update."" They are adding a new 3-day package and ask if you can ensure slightly more grounding options on those weekends. You adjust their calendar, mark the wellness dates, and confirm that total monthly volume stays the same but distribution shifts.",mushroom_Orders_v1.rtf
86,2024-06-29,07:04,Warm sun,Summer,"Bistro: ""July heat plan."" They ask you to preemptively reduce their weekly order by 25% during potential heat spikes, without them needing to write each time. You agree on simple rules: if forecast exceeds a certain temperature, you lower their volume and send them a quick confirmation message.",mushroom_Orders_v1.rtf
87,2024-09-09,06:58,Cool fog,Autumn,"Long-term cafe: ""Autumn reset."" They want to bring back a richer weekend special and ask you to dial the mix a bit deeper and more grounding, same total weight. You confirm change from next delivery and note a reminder to ask for feedback after two weekends.",mushroom_Orders_v1.rtf
88,2024-11-18,14:22,Cold rain,Autumn,"Webshop customer: ""Support for dark season."" They're repeat and state they feel unfocused and low motivation, ask for a 3-portion box, vegan, easy to handle after late work. You confirm and schedule pickup Thursday, adding a note not to overload them with too much quantity at once.",mushroom_Orders_v1.rtf
89,2025-01-07,09:33,"Grey, wet snow",Winter,"Restaurant partner: ""New chef, same agreement?"" The new chef writes to confirm ongoing Friday deliveries and asks for a short overview of how you usually adapt to mood/season and bookings. You send a concise explanation, list typical autumn vs spring differences, and propose a quick call before the next menu change.",mushroom_Orders_v1.rtf
90,2025-03-22,18:03,"Clear, cool",Spring,"Yoga retreat organizer: ""Yearly plan."" They propose fixed dates for three retreats and want to lock in approximate volumes now to secure your capacity. You agree, block the dates in your calendar, and clarify that exact kg numbers will be confirmed 10 days before each retreat.",mushroom_Orders_v1.rtf
91,2025-06-10,07:25,Warm sun,Summer,"Hotel sends a short message: ""For June keep everything like last year, same weeks, same amounts."" They add that guest feedback was strong and they don't want to experiment too much this season. You copy last year's pattern into this year's sheet and only adjust one week due to a personal conflict.",mushroom_Orders_v1.rtf
92,2025-09-27,06:41,"Crisp, clear",Autumn,"Cafe Sonnenweg: ""Autumn special board."" They ask for 1 kg extra for the next four Saturdays to support a small autumn plate, and mention many guests now recognize your name. You confirm the extra weight and ask them to track which days sell out fastest.",mushroom_Orders_v1.rtf
93,2025-12-19,12:49,"Grey, light rain",Winter,"Private customer: ""End-of-year rhythm."" They want two small boxes over the holidays, not too heavy, mostly plant-based, to keep a gentle structure in chaotic days. You accept but tell them exact pickup times will be tighter than usual due to partner commitments.",mushroom_Orders_v1.rtf
94,2026-01-15,09:02,"Freezing, bright",Winter,"Restaurant in Mitte: ""Q1 pattern."" They propose a flat 6 kg every Friday January–March, with the option to cancel once per month without penalty. You agree, note the condition, and remind them that in case of extreme weather you may need to lower one delivery and will prioritize them in the next week.",mushroom_Orders_v1.rtf
95,2026-03-04,18:57,"Clear, cold",Spring,"Webshop customer from 2014 reappears: ""Back in Berlin, need your help again."" They describe feeling ungrounded after moving and want a small weekly box for at least a month, always vegetarian, no onions. You suggest starting bi-weekly for two cycles to see how it fits their schedule, then decide together.",mushroom_Orders_v1.rtf
96,2026-04-12,07:48,Mild sun,Spring,"Hotel partner: ""Spring brunch relaunch."" They want to synchronize their marketing with your current forest reality and ask for a short seasonal sentence they can print next to the buffet. You provide a practical one-line description focused on locality and season, and confirm their usual Thursday and Sunday deliveries continue unchanged.",mushroom_Orders_v1.rtf
97,2026-05-23,06:39,"Cool, light clouds",Spring,"Cafe Sonnenweg sends quick WhatsApp: ""Same as last weeks, plus 0.5 kg if forest allows."" They mention the mood in the cafe is calmer and guests keep asking when you'll visit again. You confirm 3.5 kg for Saturday, note to pass by for a short check-in, and mark their profile unchanged for now.",mushroom_Orders_v1.rtf
98,2010-02-14,09:22,Heavy snow,Winter,"From: marta.schulz88@web.de Hi, I wanted to check if you have any fresh mushrooms available for this evening. My boyfriend has been feeling very stressed and run down, so I want to make him something comforting. I can pick them up anytime after 17:00 if you have stock.",mushroom_Orders_v1.rtf
99,2010-04-22,14:05,Sunny but crisp,Spring,"SMS from Jonas: Hey, saw your post. Do you have anything local ready yet or is it too early in the season? Looking for something for my sister's birthday dinner on Friday, she is vegan and loves wild herbs. Let me know if we can do an email order.",mushroom_Orders_v1.rtf
